date,price (dollars)
21/09/2024,32.10
22/09/2024,32.25
23/09/2024,31.07
24/09/2024,31.50
25/09/2024,32.21
26/09/2024,33.38
27/09/2024,34.08
28/09/2024,34.43
29/09/2024,35.83
30/09/2024,36.33
01/10/2024,37.57
02/10/2024,39.71
03/10/2024,39.59
04/10/2024,39.55
05/10/2024,42.01
06/10/2024,43.40
07/10/2024,43.09
08/10/2024,42.61
09/10/2024,42.41
10/10/2024,43.25
11/10/2024,43.17
12/10/2024,41.15
13/10/2024,39.79
14/10/2024,38.33
15/10/2024,37.51
16/10/2024,37.56
17/10/2024,35.42
18/10/2024,33.48
19/10/2024,33.24
20/10/2024,33.51
21/10/2024,33.69
22/10/2024,35.54
23/10/2024,37.06
24/10/2024,36.71
25/10/2024,36.93
26/10/2024,37.00
27/10/2024,37.02
28/10/2024,37.86
29/10/2024,39.89
30/10/2024,39.76
31/10/2024,38.00
01/11/2024,37.54
02/11/2024,38.33
03/11/2024,38.80
04/11/2024,36.60
05/11/2024,35.16
06/11/2024,35.58
07/11/2024,35.70
08/11/2024,34.74
09/11/2024,35.68
10/11/2024,37.28
11/11/2024,36.85
12/11/2024,36.00
13/11/2024,34.66
14/11/2024,32.75
15/11/2024,31.28
16/11/2024,29.98
17/11/2024,31.08
18/11/2024,31.16
19/11/2024,28.24
20/11/2024,27.09
21/11/2024,27.75
22/11/2024,27.83
23/11/2024,28.04
24/11/2024,27.96
25/11/2024,27.35
26/11/2024,29.38
27/11/2024,30.27
28/11/2024,29.81
29/11/2024,30.81
30/11/2024,29.15
01/12/2024,26.53
02/12/2024,27.41
03/12/2024,28.70
04/12/2024,27.38
05/12/2024,27.12
06/12/2024,27.77
07/12/2024,27.77
08/12/2024,28.57
09/12/2024,28.07
10/12/2024,27.99
11/12/2024,28.04
12/12/2024,25.92
13/12/2024,23.94
14/12/2024,23.01
15/12/2024,22.77
16/12/2024,22.01
17/12/2024,22.07
18/12/2024,23.23
19/12/2024,22.91
20/12/2024,23.30
21/12/2024,25.66
22/12/2024,26.85
23/12/2024,26.68
24/12/2024,25.16
25/12/2024,23.48
26/12/2024,23.01
27/12/2024,22.97
28/12/2024,22.96
29/12/2024,23.14
30/12/2024,25.12
31/12/2024,26.27
01/01/2025,25.44
02/01/2025,24.08
03/01/2025,23.24
04/01/2025,24.33
05/01/2025,23.49
06/01/2025,21.16
07/01/2025,20.91
08/01/2025,22.01
09/01/2025,23.08
10/01/2025,23.83
11/01/2025,24.24
12/01/2025,24.88
13/01/2025,26.65
14/01/2025,26.12
15/01/2025,25.43
16/01/2025,26.45
17/01/2025,26.01
18/01/2025,23.08
19/01/2025,19.68
20/01/2025,20.32
21/01/2025,21.15
22/01/2025,19.06
23/01/2025,17.75
24/01/2025,17.03
25/01/2025,16.48
26/01/2025,18.09
27/01/2025,19.03
28/01/2025,18.71
29/01/2025,18.09
30/01/2025,18.92
31/01/2025,20.73
01/02/2025,19.87
02/02/2025,19.95
03/02/2025,22.49
04/02/2025,23.93
05/02/2025,22.51
06/02/2025,23.19
07/02/2025,25.69
08/02/2025,27.16
09/02/2025,27.83
10/02/2025,27.38
11/02/2025,27.55
12/02/2025,29.06
13/02/2025,30.36
14/02/2025,29.36
15/02/2025,28.76
16/02/2025,31.07
17/02/2025,32.79
18/02/2025,32.96
19/02/2025,32.23
20/02/2025,30.11
21/02/2025,28.41
22/02/2025,27.59
23/02/2025,27.30
24/02/2025,27.49
25/02/2025,29.34
26/02/2025,31.09
27/02/2025,32.41
28/02/2025,33.78
01/03/2025,35.62
02/03/2025,35.47
03/03/2025,33.39
04/03/2025,34.22
05/03/2025,35.23
06/03/2025,35.85
07/03/2025,37.30
08/03/2025,38.96
09/03/2025,40.75
10/03/2025,42.34
11/03/2025,44.84
12/03/2025,47.63
13/03/2025,49.89
14/03/2025,51.28
15/03/2025,51.22
16/03/2025,50.47
17/03/2025,50.95
18/03/2025,49.40
19/03/2025,45.80
20/03/2025,43.84
21/03/2025,42.81
22/03/2025,39.69
23/03/2025,38.33
24/03/2025,40.28
25/03/2025,42.72
26/03/2025,45.58
27/03/2025,48.01
28/03/2025,51.76
29/03/2025,53.89
30/03/2025,52.26
31/03/2025,51.19
01/04/2025,50.69
02/04/2025,49.64
03/04/2025,48.28
04/04/2025,47.96
05/04/2025,49.12
06/04/2025,49.61
07/04/2025,50.00
08/04/2025,50.50
09/04/2025,51.41
10/04/2025,52.43
11/04/2025,52.44
12/04/2025,53.39
13/04/2025,55.87
14/04/2025,58.58
15/04/2025,59.07
16/04/2025,58.04
17/04/2025,56.40
18/04/2025,54.87
19/04/2025,55.10
20/04/2025,55.31
21/04/2025,57.05
22/04/2025,58.69
23/04/2025,57.44
24/04/2025,57.36
25/04/2025,58.54
26/04/2025,59.28
27/04/2025,60.17
28/04/2025,61.00
29/04/2025,59.41
30/04/2025,56.97
01/05/2025,56.03
02/05/2025,55.18
03/05/2025,54.23
04/05/2025,54.25
05/05/2025,55.37
06/05/2025,54.91
07/05/2025,54.68
08/05/2025,56.29
09/05/2025,57.50
10/05/2025,56.60
11/05/2025,56.04
12/05/2025,56.96
13/05/2025,58.11
14/05/2025,60.84
15/05/2025,64.37
16/05/2025,66.29
17/05/2025,66.86
18/05/2025,68.13
19/05/2025,68.09
20/05/2025,65.77
21/05/2025,64.21
22/05/2025,65.22
23/05/2025,65.96
24/05/2025,67.03
25/05/2025,65.95
26/05/2025,62.05
27/05/2025,60.81
28/05/2025,61.77
29/05/2025,62.20
30/05/2025,61.93
31/05/2025,62.03
01/06/2025,60.51
02/06/2025,60.18
03/06/2025,60.82
04/06/2025,61.26
05/06/2025,62.30
06/06/2025,63.57
07/06/2025,65.18
08/06/2025,65.71
09/06/2025,66.15
10/06/2025,65.29
11/06/2025,64.15
12/06/2025,66.12
13/06/2025,69.15
14/06/2025,69.35
15/06/2025,69.25
16/06/2025,70.63
17/06/2025,71.99
18/06/2025,72.94
19/06/2025,73.07
20/06/2025,74.53
21/06/2025,76.35
22/06/2025,77.97
23/06/2025,80.43
24/06/2025,81.43
25/06/2025,81.31
26/06/2025,83.56
27/06/2025,85.93
28/06/2025,85.43
29/06/2025,83.86
30/06/2025,84.25
01/07/2025,85.55
02/07/2025,84.82
03/07/2025,84.86
04/07/2025,86.07
05/07/2025,84.72
06/07/2025,83.85
07/07/2025,86.12
08/07/2025,90.03
09/07/2025,92.45
10/07/2025,93.06
11/07/2025,95.59
12/07/2025,97.87
13/07/2025,98.50
14/07/2025,98.50
15/07/2025,96.99
16/07/2025,96.86
17/07/2025,96.65
18/07/2025,96.54
19/07/2025,96.95
20/07/2025,96.66
21/07/2025,96.71
22/07/2025,97.79
23/07/2025,99.37
24/07/2025,101.77
25/07/2025,102.83
26/07/2025,102.57
27/07/2025,103.50
28/07/2025,104.20
29/07/2025,106.16
30/07/2025,108.50
31/07/2025,108.14
01/08/2025,107.96
02/08/2025,108.59
03/08/2025,107.90
04/08/2025,108.58
05/08/2025,109.22
06/08/2025,108.37
07/08/2025,108.27
08/08/2025,109.57
09/08/2025,111.15
10/08/2025,111.57
11/08/2025,111.38
12/08/2025,110.39
13/08/2025,108.81
14/08/2025,107.60
15/08/2025,106.91
16/08/2025,108.73
17/08/2025,109.97
18/08/2025,109.08
19/08/2025,107.15
20/08/2025,106.26
21/08/2025,105.41
22/08/2025,102.91
23/08/2025,103.12
24/08/2025,102.16
25/08/2025,100.14
26/08/2025,101.23
27/08/2025,103.70
28/08/2025,104.13
29/08/2025,102.85
30/08/2025,104.61
31/08/2025,106.67
01/09/2025,105.86
02/09/2025,104.71
03/09/2025,103.59
04/09/2025,102.39
05/09/2025,103.08
06/09/2025,105.02
07/09/2025,104.69
08/09/2025,104.01
09/09/2025,104.31
10/09/2025,104.95
11/09/2025,105.59
12/09/2025,105.98
13/09/2025,106.43
14/09/2025,104.38
15/09/2025,102.59
16/09/2025,101.66
17/09/2025,101.18
18/09/2025,101.12
19/09/2025,99.92
20/09/2025,99.49
21/09/2025,100.31
22/09/2025,100.76
23/09/2025,102.32
24/09/2025,105.81
25/09/2025,109.34
26/09/2025,111.03
27/09/2025,109.89
28/09/2025,110.36
29/09/2025,111.58
30/09/2025,111.21
01/10/2025,111.97
02/10/2025,111.32
03/10/2025,111.58
04/10/2025,114.29
05/10/2025,115.59
06/10/2025,116.92
07/10/2025,118.83
08/10/2025,119.87
09/10/2025,119.98
10/10/2025,119.34
11/10/2025,119.25
12/10/2025,120.09
13/10/2025,121.60
14/10/2025,122.94
15/10/2025,122.53
16/10/2025,120.52
17/10/2025,119.31
18/10/2025,119.37
19/10/2025,119.16
20/10/2025,117.49
21/10/2025,117.30
22/10/2025,119.65
23/10/2025,119.85
24/10/2025,119.93
25/10/2025,122.14
26/10/2025,123.40
27/10/2025,122.60
28/10/2025,123.72
29/10/2025,126.05
30/10/2025,126.23
31/10/2025,126.96
01/11/2025,129.81
02/11/2025,131.11
03/11/2025,131.50
04/11/2025,134.60
05/11/2025,135.73
06/11/2025,134.27
07/11/2025,133.65
08/11/2025,133.36
09/11/2025,133.01
10/11/2025,133.13
11/11/2025,132.74
12/11/2025,131.49
13/11/2025,131.43
14/11/2025,132.06
15/11/2025,133.11
16/11/2025,134.47
17/11/2025,135.89
18/11/2025,135.80
19/11/2025,134.68
20/11/2025,136.56
21/11/2025,138.92
22/11/2025,139.99
23/11/2025,141.28
24/11/2025,142.49
25/11/2025,143.01
26/11/2025,146.67
27/11/2025,149.98
28/11/2025,149.71
29/11/2025,147.78
30/11/2025,147.29
01/12/2025,148.04
02/12/2025,147.32
03/12/2025,146.73
04/12/2025,146.40
05/12/2025,146.15
06/12/2025,145.95
07/12/2025,146.00
08/12/2025,145.96
09/12/2025,145.82
10/12/2025,147.16
11/12/2025,149.48
12/12/2025,151.34
13/12/2025,151.74
14/12/2025,152.78
15/12/2025,155.57
16/12/2025,156.31
17/12/2025,157.50
18/12/2025,158.78
19/12/2025,156.60
20/12/2025,156.22
21/12/2025,157.56
22/12/2025,158.35
23/12/2025,158.52
24/12/2025,156.88
25/12/2025,157.27
26/12/2025,157.31
27/12/2025,154.37
28/12/2025,151.12
29/12/2025,146.81
30/12/2025,143.04
31/12/2025,139.70
01/01/2026,137.29
02/01/2026,134.77
03/01/2026,131.39
04/01/2026,132.65
05/01/2026,135.22
06/01/2026,135.33
07/01/2026,134.00
08/01/2026,132.84
09/01/2026,133.00
10/01/2026,131.46
11/01/2026,130.02
12/01/2026,131.55
13/01/2026,132.41
14/01/2026,131.81
15/01/2026,129.92
16/01/2026,126.98
17/01/2026,126.90
18/01/2026,127.24
19/01/2026,125.43
20/01/2026,123.96
21/01/2026,123.60
22/01/2026,122.44
23/01/2026,121.44
24/01/2026,120.34
25/01/2026,119.92
26/01/2026,119.69
27/01/2026,120.07
28/01/2026,121.44
29/01/2026,120.76
30/01/2026,121.07
31/01/2026,120.97
01/02/2026,119.25
02/02/2026,118.92